,date,fipscode,county,state,effective_concentration_rolling_average,MEAN_of_inpatient_beds_used_covid_7_day_avg,MEAN_of_total_beds_7_day_avg,Perc_used_covid_over_pop,MEAN_of_pop_2019,mean_household_income_2019,poverty_2019
2,2021-01-08,25025,Suffolk County,MA,1140.16010337902,28.975,398.05625,0.0036373108,796605.0,104274,18.2
5,2021-01-08,47157,Shelby County,TN,811.5157707103568,60.4555555555555,274.707692307692,0.0064563471,936374.0,76734,19.3
12,2021-01-08,12086,Miami-Dade County,FL,663.9594940361739,56.095238095238,338.35909090909,0.0020780416,2699428.0,79100,17.1
25,2021-01-15,25025,Suffolk County,MA,1067.0471964325004,29.3399999999999,398.61875,0.0036831303,796605.0,104274,18.2
30,2021-01-15,47157,Shelby County,TN,390.5884605517772,55.3444444444444,290.55,0.0059105063,936374.0,76734,19.3
44,2021-01-15,12086,Miami-Dade County,FL,527.7855626339433,59.3666666666666,340.05909090909,0.0021992313,2699428.0,79100,17.1
47,2021-01-22,47157,Shelby County,TN,419.0954875629825,51.0999999999999,276.007692307692,0.0054572212,936374.0,76734,19.3
57,2021-01-22,12086,Miami-Dade County,FL,447.0813860107348,63.3052631578947,339.390909090909,0.0023451362,2699428.0,79100,17.1
69,2021-01-22,25025,Suffolk County,MA,951.7518922430224,28.94,399.0125,0.0036329172,796605.0,104274,18.2
78,2021-01-29,47157,Shelby County,TN,257.8970863287752,33.8272727272727,275.392307692307,0.0036125814,936374.0,76734,19.3
85,2021-01-29,12086,Miami-Dade County,FL,333.0509877610453,58.0263157894736,338.095454545454,0.0021495782,2699428.0,79100,17.1
86,2021-01-29,25025,Suffolk County,MA,634.2548035763908,24.20625,397.299999999999,0.0030386766,796605.0,104274,18.2
111,2021-02-05,25025,Suffolk County,MA,430.78671432538977,20.8466666666666,396.612499999999,0.002616939,796605.0,104274,18.2
114,2021-02-05,12086,Miami-Dade County,FL,220.5766467575569,55.0157894736842,336.75909090909,0.0020380536,2699428.0,79100,17.1
117,2021-02-05,47157,Shelby County,TN,126.18520077763895,26.5636363636363,274.246153846153,0.0028368618,936374.0,76734,19.3
124,2021-02-12,25025,Suffolk County,MA,380.2273961440201,20.4714285714285,397.424999999999,0.0025698343,796605.0,104274,18.2
130,2021-02-12,47157,Shelby County,TN,147.85337925412696,23.7636363636363,272.307692307692,0.002537836,936374.0,76734,19.3
131,2021-02-12,12086,Miami-Dade County,FL,167.56546968321328,50.978947368421,335.413636363636,0.0018885092,2699428.0,79100,17.1
143,2021-02-19,25025,Suffolk County,MA,381.28323349547327,16.4230769230769,396.91875,0.0020616337,796605.0,104274,18.2
