,date,fipscode,county,state,effective_concentration_rolling_average,MEAN_of_inpatient_beds_used_covid_7_day_avg,MEAN_of_total_beds_7_day_avg,Perc_used_covid_over_pop,MEAN_of_pop_2019,mean_household_income_2019,poverty_2019
3,2021-01-08,51179,Stafford County,VA,1353.4475195949428,20.9,144.0,0.0142396762,146773.0,127009,4.4
10,2021-01-08,36059,Nassau County,NY,1010.194580876812,74.5,432.125,0.0054920388,1356509.0,152785,5.6
35,2021-01-15,51179,Stafford County,VA,1651.9241447658578,17.6,144.0,0.0119913063,146773.0,127009,4.4
36,2021-01-15,36059,Nassau County,NY,1314.812268640088,80.75,432.3,0.0059527803,1356509.0,152785,5.6
37,2021-01-15,42091,Montgomery County,PA,440.455298001924,40.5777777777777,227.269999999999,0.0049255456,823823.0,125928,5.9
53,2021-01-22,51179,Stafford County,VA,1042.4484178644043,16.0,144.0,0.0109011875,146773.0,127009,4.4
56,2021-01-22,36059,Nassau County,NY,810.6284583496359,84.075,432.6375,0.0061978947,1356509.0,152785,5.6
76,2021-01-29,51179,Stafford County,VA,778.9451492999825,19.3,144.0,0.0131495575,146773.0,127009,4.4
79,2021-01-29,42091,Montgomery County,PA,256.71230343040145,31.3111111111111,230.459999999999,0.0038007085,823823.0,125928,5.9
104,2021-02-05,51179,Stafford County,VA,664.485743501678,15.4,144.0,0.010492393,146773.0,127009,4.4
107,2021-02-05,36059,Nassau County,NY,792.5516553045568,78.5125,432.6125,0.0057878348,1356509.0,152785,5.6
125,2021-02-12,51179,Stafford County,VA,381.6218004966882,13.4,144.0,0.0091297446,146773.0,127009,4.4
127,2021-02-12,42091,Montgomery County,PA,122.90417647686706,27.7555555555555,230.469999999999,0.0033691164,823823.0,125928,5.9
142,2021-02-12,36059,Nassau County,NY,393.5522069245917,75.7749999999999,433.2625,0.00558603,1356509.0,152785,5.6
155,2021-02-19,51179,Stafford County,VA,209.29917164033264,10.9,144.0,0.007426434,146773.0,127009,4.4
160,2021-02-19,36059,Nassau County,NY,328.6895988131532,65.6,433.3875,0.0048359429,1356509.0,152785,5.6
168,2021-02-26,42091,Montgomery County,PA,54.416468525795295,17.7,231.209999999999,0.0021485198,823823.0,125928,5.9
169,2021-02-26,36059,Nassau County,NY,347.8481433272612,60.4875,432.05,0.0044590563,1356509.0,152785,5.6
183,2021-02-26,51179,Stafford County,VA,216.6600836147085,9.7,144.0,0.006608845,146773.0,127009,4.4
192,2021-03-05,51179,Stafford County,VA,223.6443932180945,8.3,144.0,0.005654991,146773.0,127009,4.4
193,2021-03-05,36059,Nassau County,NY,302.44302988718937,51.0374999999999,428.4625,0.0037624151,1356509.0,152785,5.6
216,2021-03-12,42091,Montgomery County,PA,28.4821048755128,13.4444444444444,232.01,0.0016319579,823823.0,125928,5.9
218,2021-03-12,51179,Stafford County,VA,228.7104054295328,8.9,144.0,0.0060637856,146773.0,127009,4.4
224,2021-03-12,36059,Nassau County,NY,345.67827589637244,49.9,428.9125,0.0036785602,1356509.0,152785,5.6
233,2021-03-19,51179,Stafford County,VA,261.67145790107503,9.3,144.0,0.0063363153,146773.0,127009,4.4
237,2021-03-19,36059,Nassau County,NY,494.53394219802107,46.825,429.325,0.0034518754,1356509.0,152785,5.6
260,2021-03-26,36059,Nassau County,NY,496.7259506043322,45.3625,428.95,0.0033440619,1356509.0,152785,5.6
263,2021-03-26,51179,Stafford County,VA,303.1096109251844,6.1,144.0,0.0041560778,146773.0,127009,4.4
267,2021-03-26,42091,Montgomery County,PA,46.11451102645739,16.6,232.369999999999,0.0020149959,823823.0,125928,5.9
283,2021-04-02,36059,Nassau County,NY,192.1283953111256,44.525,428.575,0.0032823225,1356509.0,152785,5.6
288,2021-04-02,51179,Stafford County,VA,205.9954310774915,6.3,144.0,0.0042923426,146773.0,127009,4.4
295,2021-04-09,36059,Nassau County,NY,90.9077403802074,43.8499999999999,427.9125,0.0032325624,1356509.0,152785,5.6
308,2021-04-09,51179,Stafford County,VA,265.81723653305585,6.6,144.0,0.0044967399,146773.0,127009,4.4
309,2021-04-09,42091,Montgomery County,PA,66.92572662404224,26.775,229.959999999999,0.0032500913,823823.0,125928,5.9
320,2021-04-16,51179,Stafford County,VA,365.6049798536092,7.7,144.0,0.0052461965,146773.0,127009,4.4
